"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(1)","특성별(1)",특성별(2),계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","직업",전문관리,100.0,20.4,5.8,10.1,2.1,1.4,53.2,,5.0,0.0,2.0,100.0,19.7,6.1,11.1,1.5,1.3,53.2,,5.2,0.0,1.8,100.0,18.5,6.2,10.8,1.3,1.3,54.6,,4.7,0.0,2.6,100.0,19.2,5.1,11.4,1.9,0.8,55.7,,4.1,0.1,1.8,100.0,22.7,5.2,10.8,1.6,0.6,52.4,1.9,3.3,0.0,1.5,100.0,15.1,,12.9,,1.5,59.5,2.4,4.1,0.5,4.0
"전국","직업",사? 무,100.0,19.9,5.3,12.5,1.7,2.2,52.1,,5.0,0.0,1.4,100.0,19.7,5.6,12.4,1.1,1.7,53.1,,4.2,0.1,2.2,100.0,19.9,6.9,11.6,1.5,1.5,52.2,,4.0,0.0,2.4,100.0,21.1,5.9,12.0,1.8,0.8,52.8,,4.0,0.1,1.5,100.0,21.7,5.0,11.1,1.6,0.7,53.9,1.5,3.0,0.1,1.5,100.0,16.9,,13.3,,1.8,58.9,1.7,4.1,0.2,3.0
"전국","직업",서비스판매,100.0,21.2,4.3,12.3,2.3,3.0,47.2,,6.3,0.1,3.3,100.0,21.9,4.8,12.6,2.1,2.2,44.4,,7.6,0.0,4.4,100.0,21.4,5.0,11.5,1.8,2.4,45.1,,7.0,0.0,5.9,100.0,22.4,4.8,12.3,2.3,1.5,46.0,,6.6,0.1,4.0,100.0,24.1,4.3,11.7,2.2,1.7,43.7,2.5,5.8,0.1,3.8,100.0,17.0,,14.1,,2.6,50.5,2.9,6.3,0.5,6.1
"전국","직업",농어업,100.0,18.2,1.8,6.0,1.4,3.0,48.0,,8.5,0.2,12.9,100.0,13.0,1.8,8.3,2.6,2.6,51.1,,9.5,1.0,10.1,100.0,15.1,2.4,5.9,1.7,1.7,53.9,,9.7,,9.6,100.0,16.9,2.6,7.1,1.6,1.7,52.9,,9.0,,8.2,100.0,19.0,2.8,7.0,1.6,0.9,48.4,2.8,7.7,,10.0,100.0,17.8,,7.7,,2.5,48.2,3.3,9.9,0.1,10.6
"전국","직업",기능노무,100.0,20.7,3.6,11.6,2.0,3.3,45.6,,7.0,0.0,6.2,100.0,20.6,3.6,12.3,2.1,2.7,43.9,,7.2,0.0,7.6,100.0,19.6,5.1,10.9,2.0,2.0,43.9,,7.0,0.0,9.6,100.0,22.2,4.9,11.8,2.4,1.3,43.0,,7.2,0.1,7.0,100.0,24.4,3.9,11.2,1.7,1.7,42.2,2.6,5.6,0.0,6.7,100.0,17.4,,13.5,,2.7,47.2,3.0,7.1,0.2,9.0
"전국","종사상지위",임금근로자,100.0,20.8,4.4,12.3,1.8,2.6,49.2,,5.6,0.0,3.4,100.0,20.8,4.9,12.5,1.8,2.1,47.6,,6.0,0.1,4.2,100.0,20.1,5.6,11.8,1.6,1.8,48.2,,5.5,0.0,5.3,100.0,21.5,5.1,12.7,1.9,1.2,48.2,,5.4,0.1,3.9,100.0,23.6,4.5,11.4,1.8,1.2,47.6,2.3,4.1,0.1,3.4,100.0,16.8,,14.0,,2.2,53.0,2.5,5.3,0.4,5.8
"전국","종사상지위",고용주,100.0,20.1,6.6,8.2,2.9,2.4,49.9,,6.3,0.1,3.4,100.0,19.6,7.6,9.8,1.9,1.7,49.3,,6.8,,3.2,100.0,20.1,7.6,9.6,2.0,1.6,48.5,,5.8,0.0,4.7,100.0,20.3,6.7,9.1,1.9,0.4,50.4,,6.8,0.1,4.2,100.0,21.4,5.8,9.2,2.0,0.7,49.0,1.4,6.6,,3.8,100.0,15.1,,10.7,,2.2,56.9,3.3,6.8,0.3,4.8
"전국","종사상지위",자영자,100.0,19.7,4.1,9.0,2.5,2.8,47.6,,7.1,0.1,7.0,100.0,18.0,3.5,10.1,2.2,2.2,48.8,,7.4,0.4,7.4,100.0,18.3,4.3,7.8,1.9,1.7,49.7,,8.1,0.0,8.3,100.0,20.5,4.1,9.4,3.1,1.4,48.6,,6.9,0.0,6.0,100.0,21.8,4.1,10.2,1.5,1.3,46.3,2.2,5.9,,6.7,100.0,17.1,,11.0,,2.4,50.2,3.0,7.5,0.1,8.6
"전국","주관적 만족감",만족,100.0,21.7,4.9,9.8,2.0,1.6,50.7,,6.0,0.1,3.2,100.0,23.6,5.0,10.2,1.8,1.5,48.1,,5.3,0.0,4.3,100.0,21.2,5.5,9.6,1.4,1.5,50.5,,5.0,0.0,5.2,100.0,21.4,5.2,10.3,2.2,1.0,50.1,,5.1,0.1,4.6,100.0,23.3,4.3,10.3,1.6,0.9,49.9,1.9,3.9,0.0,3.8,100.0,17.3,,12.5,,1.9,54.7,2.5,5.2,0.3,5.6
"전국","주관적 만족감",보통,100.0,21.6,3.9,10.7,1.9,2.8,46.7,,5.8,0.1,6.4,100.0,21.3,4.1,10.7,1.9,2.1,46.6,,6.2,0.1,7.1,100.0,21.4,4.5,10.2,1.6,1.9,45.3,,6.4,0.0,8.7,100.0,22.1,4.3,10.7,2.1,1.2,46.9,,6.1,0.1,6.6,100.0,23.9,3.9,9.7,1.8,1.4,45.2,2.4,5.3,0.0,6.4,100.0,18.2,,12.6,,2.4,49.1,2.8,6.2,0.3,8.5
